241007-14:40:28.507050 <I>  wifi_hal_createVAP:819: vap index:2 create vap
241007-14:40:28.507213 <I>  wifi_hal_createVAP:831: vap index:2 create interface
241007-14:40:28.510140 <E>  nl80211_create_interface:5208: Error creating wlan2 interface on dev:0 error: -16 (Device or resource busy)
241007-14:40:28.510419 <E>  wifi_hal_createVAP:834: vap index:2 failed to create interface
241007-14:40:28.510581 <I>  wifi_hal_createVAP:819: vap index:6 create vap
241007-14:40:28.510737 <I>  wifi_hal_createVAP:831: vap index:6 create interface
241007-14:40:28.513425 <E>  nl80211_create_interface:5208: Error creating wlan6 interface on dev:0 error: -16 (Device or resource busy)
241007-14:40:28.513689 <E>  wifi_hal_createVAP:834: vap index:6 failed to create interface
241007-14:40:28.513905 <I>  wifi_hal_createVAP:819: vap index:10 create vap
241007-14:40:28.514083 <I>  wifi_hal_createVAP:831: vap index:10 create interface
241007-14:40:28.518335 <E>  nl80211_create_interface:5208: Error creating wlan10 interface on dev:0 error: -16 (Device or resource busy)
241007-14:40:28.518631 <E>  wifi_hal_createVAP:834: vap index:10 failed to create interface
241007-14:40:28.518802 <I>  wifi_hal_createVAP:1062: radio index:0 post-create vap
241007-14:40:28.519733 <E>  wifi_hal_delApAclDevices:1497:interface for ap index:2 not found
241007-14:40:28.519916 <E>  wifi_hal_delApAclDevices:1497:interface for ap index:6 not found
241007-14:40:28.520079 <E>  wifi_hal_delApAclDevices:1497:interface for ap index:10 not found
241007-14:40:28.521103 <I>  wifi_hal_createVAP:804: radio index:1 skip vap create due to ECO mode
241007-14:40:28.530103 <I>  recv_link_status:1270: brlan0 BRIDGE IS CREATED
241007-14:40:28.586283 <I>  recv_link_status:1270: brlan0 BRIDGE IS CREATED
241007-14:40:28.771972 <I>  wifi_hal_post_init:322: platform post init
241007-14:40:29.851953 <I>  wifi_hal_createVAP:810: radio index:0 pre-create vap
241007-14:40:29.852347 <I>  wifi_hal_createVAP:819: vap index:4 create vap
241007-14:40:29.852507 <I>  wifi_hal_createVAP:831: vap index:4 create interface
241007-14:40:29.858553 <E>  nl80211_create_interface:5208: Error creating wlan4 interface on dev:0 error: -16 (Device or resource busy)
241007-14:40:29.858986 <E>  wifi_hal_createVAP:834: vap index:4 failed to create interface
241007-14:40:29.859190 <I>  wifi_hal_createVAP:1062: radio index:0 post-create vap
241007-14:40:29.958182 <E>  wifi_hal_delApAclDevices:1497:interface for ap index:4 not found
241007-14:40:29.961268 <I>  wifi_hal_createVAP:810: radio index:0 pre-create vap
241007-14:40:29.961652 <I>  wifi_hal_createVAP:819: vap index:8 create vap
241007-14:40:29.962069 <I>  wifi_hal_createVAP:831: vap index:8 create interface
241007-14:40:29.972510 <E>  nl80211_create_interface:5208: Error creating wlan8 interface on dev:0 error: -16 (Device or resource busy)
241007-14:40:29.972998 <E>  wifi_hal_createVAP:834: vap index:8 failed to create interface
241007-14:40:29.973177 <I>  wifi_hal_createVAP:1062: radio index:0 post-create vap
241007-14:40:30.064495 <I>  wifi_hal_createVAP:804: radio index:1 skip vap create due to ECO mode
241007-14:40:30.178565 <I>  wifi_hal_createVAP:804: radio index:1 skip vap create due to ECO mode
