[OneWifi] 241007-14:40:30.298770<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.299279<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.299752<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.300211<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.300707<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.301216<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.301661<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.316495<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.316960<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.317436<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.317918<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.318369<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.318841<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.319293<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.319733<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
[OneWifi] 241007-14:40:30.320161<I>  events_rbus_publish(): rbusEvent_Publish Event 262160
